Tag;English_Source
ConsequencesTense_Content;{{0=journalHeader}}<br><br>There is a reckoning here in {{1=townName}}. For two generations, we have struggled with our conscience as the people of our town have fought against the things they feared and could not understand. They look to our family to help guide their hand in this final decision as our history is laid bare:<br><br>1. Sixty years ago, when the angry mob was formed and hunted down innocent people in the street, our ancestors {{2=?|chose to help the villagers butcher the innocents.|took a stand for the innocent, turning their backs on the bloodthirsty villagers.}}<br><br>2. Thirty years ago, when one of our own was accused of witchcraft, we {{3=?|blamed the Romani people for our misfortune.|accepted our fate rather than blaming the Romani people.}}<br><br>3. Twenty-five years ago, when the town was erecting a wall to keep out the "undesirables", we {{4=?|donated heavily to its construction.|chose not to donate a large sum to the construction.}}
Foreign_Setup_Content;Place the Suspicion Marker on space <b>{{0=Tracker}}</b> and the <icon=AngryMob_Icon> token one space to the left.{{1=?|<br><br>Since this is a 3-player game, pass the Starting Player Marker clockwise 1 additional time.}}
Foreign_WitchingHour_Content;{{1=?|Whenever a player visits a location with the <b>Witch's Hex</b> token <icon=S2_WitchHexToken>, they must also gain <b>1 <icon=Creepy_Icon></b> and <b>1 <icon=Insanity_Icon></b>.|The <b>Witch's Hex</b> token <icon=S2_WitchHexToken> is currently on the <b>{{0=HexLocation}}</b>. Any player who visits that location must also gain <b>1 <icon=Creepy_Icon></b> and <b>1 <icon=Insanity_Icon></b>.}}
S4Foreign3_Content;<b>Newsprint - {{0=NewspaperName}} - <i>{{1=Date}}</i></b><br><br>{{3=?|Though the Witch was unmasked, the terrifying proof that dark magic truly walked among us has left {{2=TownName}} deeply fractured and paranoid as the next generation begins.|Because the Witch was never proven to exist, the town fathers have bricked up the gates and sealed {{2=TownName}} off from the outside world entirely, ushering in an era of strict isolation.}}
SmugEvent2ACont_Content;<b>Notes of {{0=randomName}} - <i>19 November, 1906</i></b><br><br>What a glorious success! Last night, we met to {{1=|mix the final chemicals together underneath the Town Hall. What resulted was a corrosive foam that expanded exponentially, filling the building and consuming it from the inside out. Afterward, with no trace of the compound left behind, the structure collapsed.|wind up the mechanical construct we had built from our combined knowledge. We unleashed the whirring contraption inside the Town Hall and watched as the blades and gears tore down every load-bearing column until the whole building collapsed in on itself. We deactivated the device by remote control so that it was crushed beneath the weight of the building.|unleash our Biological creation inside the Town Hall. It had the singular appetite for cellulose and pulp, eating every scrap of paper and consuming the wooden beams until the building collapsed in on itself. Its genetic structure was unstable, and it expired before it was crushed beneath the weight of the building.}}
WallEvent2_Content;<b>Newsprint - {{0=NewspaperName}} - <i>{{1=Date}}</i></b><br><br>{{3=?|With the backing of the noble estates, masons have begun laying the foundations of a great wall around {{2=TownName}}! Every Memorial Brick donated is hailed as a patriotic bulwark against the unknown.|Despite the council's vote for openness, fearful citizens continue to hoard bricks and fortify their own neighborhoods against the unseen Witch.}}
WardenStatEntry_Title;The Champion of the Dome: {{0=Warden}}
WitchIntro2_Content;During the Early and Middle Years of this generation, each player will secretly take the Storybook and select a town location.<br><br><b>One player (or {{0=WSuspect}} in a 2-3 player game) has secretly been designated as the Witch!</b><br>- If you are the <b>Witch</b>, the location you select will actually be <b>Hexed</b> (<icon=S2_WitchHexToken>) for the round!<br>- If you are <b>Innocent</b>, the location you select will be recorded as your alibi/rumor at the Church.<br>- At the end of the Middle Years, the players will vote to accuse and unmask the Witch!{{1=?| In a 2-3 player game, <b>{{0=WSuspect}}</b> may also be the Witch!}}
WitchIntro_Content;{{0=JournalHeader}}<br><br>The townsfolk grow agitated by my presence, claiming that my family carries a curse and only tragedy befalls those who align themselves with us over the years. After the untimely death of several of my cousins' mutual business partners, and the appearance of blood pentagrams at various locations within town, even I began to find it suspicious. Was it a supernatural manifestation – a dark power willed to one of us – or mere happenstance?<br><br>{{2=?|We also could not overlook the possibility of {{1=WSuspect}} perhaps enacting a misguided sort of vengeance with the entire affair. I had noticed them skulking about during my early visits to town and the events of decades past clearly weighed heavily upon them.<br><br>|}}While the townspeople squabbled over superstition, we, intellectuals, decided to put the scientific method to good use in order to determine which of us had become cursed.
WitchTensionResolution_Content;<b>Journal of {{0=witch}} - <i>Date unknown</i></b><br><br>Because our ancestor was falsely accused of practicing witchcraft over 25 years ago, the people have bent over backwards trying to make up for this injustice. Some of the townsfolk have even offered to work my lands for free while bringing gifts from their farms{{1=?|.|, even though they know what my family did to exact our revenge.}}
Witchres2_0_Content;{{1=?|<b>{{0=Witch}}</b> has been unmasked as the Witch! Move the <b>Witch's Hex</b> token <icon=S2_WitchHexToken> to the location of <b>{{0=Witch}}</b>'s choice for the Late Years.<br><br>Every player who voted correctly against <b>{{0=Witch}}</b> gains <b>3VP</b>.|The apprentice was the Witch! Keep the <b>Witch's Hex</b> token <icon=S2_WitchHexToken> on its current location for the Late Years, and each player gains <b>2VP</b>.}}
Witchres2_Content;{{0=JournalHeader}}<br><br><b>Letter from {{2=RandomName}} - <i>(cont.)</i></b><br><br>{{3=?|The town was appeased by our wise decision to sacrifice the true culprit in this macabre, mystical mystery. Let it be known that seeking vengeance can carry with it a terrible and fatal cost.<br><br>I only wish the wretch would have taken it better when they were found out. Poor {{1=Witch}} spat at us and made a frightfully unbecoming scene while being burnt at the stake. Ghastly manners.|The town was appeased by our decision to forgo familial obligations and offer one of our own as a necessary sacrifice. I do not know how to state it other than with sober words. To lose a family member, oh it is a torment to my very soul.<br><br>I only wish they would have taken it better. Poor {{1=Witch}} spat at us and made a frightfully unbecoming scene while being burnt at the stake.}}
Witchres3_0_Content;<b>{{0=FalseWitch}}</b> was falsely accused!{{2=?| <b>{{0=FalseWitch}}</b> loses <b>2VP</b> (if possible).|}}<br><br>The true Witch was <b>{{1=Witch}}</b>!{{3=?| <b>{{1=Witch}}</b> gains <b>5VP</b> for successfully escaping detection!|}}<br><br>Remove the <b>Witch's Hex</b> token <icon=S2_WitchHexToken> from the board.
Witchres_Content;Players may now discuss what they learned from the Rumor Mill and deliberate on who is the <b>Witch</b>.<br><br>{{3=?|The <b>{{0=WSuspect}}</b> can also be chosen by pointing at the Village Chronicle. The {{0=WSuspect}} will reveal their accusation (targeting <b>{{1=PointAi}}</b> or <b>{{2=HexAi}}</b>) after this initial vote concludes.<br><br>|}}On the count of three, each player points at the suspect they accuse (the Starting Player breaks any ties).
Witchwolf1a_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Early Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf1b_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Early Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf1c_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Early Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf1d_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Early Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf1e_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Early Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf2a_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Middle Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf2b_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Middle Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf2c_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Middle Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf2d_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Middle Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolf2e_0_Content;<b>{{0=PlayerName}}</b>:<br><br>{{1=?|<b>YOU ARE THE WITCH!</b> Select which location you wish to place the <b>Witch's Hex</b> <icon=S2_WitchHexToken> upon for the Middle Years:|<b>You are Innocent.</b> Select a location below so nobody can tell from watching you whether you are the Witch (your choice will be recorded in the Rumor Mill):}}
Witchwolfresolution_Content;{{0=JournalHeader}}<br><br><b>Account of {{1=RandomName}}</b><br><br>The town can endure the unseen curses no longer! Torch-bearing crowds have surrounded the Town Hall, demanding that the estates name the Witch responsible for hexing the village.
