Tag;English
//====== Setup ======;
Init_Content;Complete the standard setup for {{0=|two|three|four}} players as shown in the rulebook. <i>Note that the <icon=AngryMob_Icon> track and starting player will be set by the Storybook in the coming pages.</i><br /><sprite=ScenarioBox3D_Disease>Then, retrieve <b>The Cost of Disease</b> Scenario box, which will contain all components needed for this story. As the Storybook progresses, it will ask you to put items into play from this box. Be sure to keep it nearby.
Dubious_0_Content;Retrieve the Dubious Bartering cards from the scenario box. Shuffle them and <b>give each player a Dubious Bartering card</b> and return any remaining to the box. This card is placed face-up near their Estate and is activated each time the listed action is taken.
SpecialGen1_Content;<b>Retrieve the <icon=StorybookToken> tokens.</b><br /><br />Place one token on <b>space 3</b> of the <icon=Insanity_Icon> Track.<br /><br />Place one token on <b>space 4</b> of the <icon=Creepy_Icon> Track.<br /><br /><i>When a player's piece reaches one of these tokens, they will click on the appropriate link and receive a special message for reaching this achievement.</i>
FirstTimeSuspicion_Content;Place the Suspicion marker on space <b>{{0=...|6|7|8|...}}</b> and the <icon=AngryMob_Icon> token one space to the left.<br /><br /><b>Suspicion Marker</b><br />The Suspicion Marker represents the furthest right that the <icon=AngryMob_Icon> can move during a Generation. This marker stays in the same location throughout the current Generation and the <icon=AngryMob_Icon> token can never be moved <b>onto or past</b> this marker by any actions or abilities during gameplay.
FirstPlayer_Content;Turn to <b>The Cost of Disease</b> section of the Village Chronicle. Then, turn to <b>page 1</b> <i>(this is noted by the matching The Cost of Disease symbol:</i> <icon=S1_ScenarioIcon>). <br />Retrieve the <icon=S1_HeartToken> tokens from the Scenario box and keep them in a supply near the board.<br />Give the <b>Start Player</b> marker <icon=StartPlayerToken> to <b>{{0=...|Oliver|James|Olivia|...}}.</b>
//====== Gen1 - Fever ======;
// ---Hub---;
Fever_Hospital_Content1;Each time a player visits the church, they may donate funds and assistance towards building a new Hospital by paying money to the supply. Depending on the amount spent ($0, $1, or $2), the player will receive 1, 2, or 3 <icon=S1_HeartToken> and lose 1, 2, or 3 <icon=Creepy_Icon>. <i>You do not pay extra ($) for placing a piece if another player has already placed at the church.</i><br /><br />At the end of the Generation, the player with the most <icon=S1_HeartToken> tokens will gain <b>5VP.</b> <i>If there is a tie, all tied players gain 5VP each.</i>
Fever_Bank_Content;A new Bank has been built in town. For each visit to the Bank, <b>gain $2.</b>
Fever_Library_Content;A new Library has been built in town. For each visit to the Library, <b>gain one Knowledge of your choice </b><i>(not Occult).</i> You will also gain 1 <icon=Creepy_Icon>.
Fever_Creepy_Content;If a player reaches the <b>4th</b> space on the <icon=Creepy_Icon> Track, 
Fever_Sane_Content;If a player reaches the <b>3rd</b> space on the <icon=Insanity_Icon> Track, 
// ---Gen1CreepyTrack---;
Gen1CreepyTrack_Content1;Please click on the name of the scientist that reached <b>space 4</b> on the <icon=Creepy_Icon> track:
Gen1CreepyTrackRes_1_Content1;<link=0>Accept the offer.</link> (To gain $2.)<br /><br /><link=1>Refuse the offer.</link> (To avoid a debt in the future.)
Gen1CreepyTrackRes_2_Content1;<link=0>Accept.</link> (To take a Perform Experiment Action.)<br /><br /><link=1>Refuse.</link> (If you cannot or choose not to take the action.)
Gen1CreepyYes_A0_Content;Gain $2. Then, return the <icon=Storybook> token to the supply.
Gen1CreepyYes_B0_Content;You may immediately take a <b>Perform an Experiment</b> action. Then, return the <icon=Storybook> token to the supply.
Gen1CreepyNo_0_Content;{{0=?|Lose <b>1 </b><icon=Creepy_Icon>. }}Return the <icon=Storybook> token to the supply.
// ---Gen1SanityTrack---;
Gen1SanityTrack_Content1;Please click on the name of the scientist that reached <b>space 3</b> on the <icon=Insanity_Icon> track:
Gen1SanityTrackRes_0_Content1;<link=0>Accept the offer and pay $1.</link> (Calm your sanity and gain 1 Knowledge.)<br /><br /><link=1>Refuse.</link> (Avoid the penalties of laziness.)
Gen1SanityYes_0_Content;<b>Pay $1.</b> <b>Gain 1 Knowledge of your choice.</b><br /><br />Then, you may discard a <b>Compulsion</b> from your hand. If you do, <b>gain 1 Knowledge</b> of your choice.<br /><br />Then, return the <icon=Storybook> token to the supply.
Gen1SanityNo_0_Content;{{0=?|Gain <b>$1</b>. Gain <b>1 </b><icon=Creepy_Icon>. }} Return the <icon=Storybook> token to the supply.
// ---FeverServe1---;
FeverServe1_0_Content;Each player <b>pays $1 and gains a SERVANT from LOST</b> and places it in their Quarters.
// ---S5Special---;
S5Special1_Content1;<b>gain 3VP</b> and then make the decision as to whether to build a <b>Bank</b> <i>(to obtain additional income)</i>, or to build a <b>Library</b> <i>(to obtain additional knowledge)</i>.
S5Special1A_Content;<b>SPECIAL EVENT</b><br />All players take all their money into their hands. They then secretly choose any amount to place into their right hand to bid on becoming Mayor.<br /><br />Once all players are ready, reveal the amount of money bid simultaneously. The player that bid the most wins the election. <i>(If there is a tie, the player who went last in turn order the previous round wins the bid.)</i><br /><br />Only the player that wins the election must pay their bid to supply. All others return their money to their Estates.
S5Special1B_Content1;<b>The player that bid the most wins the election. <i>(If there is a tie, the player who went last in turn order the previous round wins the bid.)</i></b><br /><br />Which player became the elected Mayor?
S5SpecialSetup1_Content;{{0=...|Oliver|James|Olivia|...}} receives <b>3VP</b> immediately. Then, they receive the <b>Commemorative Mayoral Coin</b> from the box. And finally, they will choose if they would like to build a Bank or a Library.
S5SpecialSetup1B_Content;<sprite=Bank1><br /><b>BANK</b><br />For each visit to the Bank, <b>gain $2.</b> The Mayor player will also <b>immediately gain 1VP</b> for building the Bank.<br /><br /><sprite=Library1><br /><b>LIBRARY</b><br />For each visit to the Library, <b>gain one Knowledge of your choice</b> <i>(not Occult).</i><br /><br /><b>Which building would the new Mayor like to Build?</b>
S5SpecialSetup1B_Content1;<link=0>Bank.</link><br /><br /><link=1>Library.</link>
// ---FeverServe2---;
FeverServe2_0_Content;Each player <b>gains a SERVANT from LOST</b> and places it in their Quarters. <i>If you cannot gain a Servant, gain $1 instead.</i>
FeverServe2_1_Content; Turn to page <b>{{0=?|2|3}}</b> of the Village Chronicle. {{1=?|{{2=...|Oliver|James|Olivia|...}} gains 1VP.}}
// ---FeverHeart---;
FeverHeart_Content;Count up all the <icon=S1_HeartToken> tokens collected by ALL players. Please enter the total number here:
FeverHeart_0_Content;Now count up the <icon=S1_HeartToken> tokens collected by each indivdual player. The player(s) with the most <icon=S1_HeartToken> tokens gains <b>5VP</b>. <i>(All tied players gain this bonus.)</i>
FeverHeart2_Content;The player with the most <icon=S1_HeartToken> tokens will keep <b>1 <icon=S1_HeartToken></b> in their Quarters and return all other tokens to the box. All other players return <b>all</b> of their <icon=S1_HeartToken> tokens to the box. <i>If there is a tie, the player <b>later in turn order</b> this round receives the <icon=S1_HeartToken> token.</i>
FeverHeart2_0_Content;The player with the <icon=S1_HeartToken> Token is:
FeverHeart2_1_Content;Remove all player pieces from the board and Perform the End of a Generation. Return all <b>Dubious Bartering</b> cards to the box. Return any remaining <icon=StorybookToken> tokens to the supply.
//====== Gen2 - Hospital ======;
// ---HospitalIntro---;
EradicateDisease_0_Content;Place the <b>Yellow Fever Inoculation</b> Experiment near the game board. When taking a Perform Experiment action, any player may choose to complete this Experiment as if it were in their hand. <i>There is no additional Generation Bonus for completing this Experiment.</i>
ChooseScience_Content1;<b>Choose which of the Sciences our family will focus upon this Generation:</b><br /><br /><link=0>Chemistry</link><br /><br /><br /><link=1>Engineering</link><br /><br /><br /><link=2>Biology</link>
ThirtyFiveVp_Content;<b>Carefully hand the Storybook to the player with the least VP.</b> <i>If there is a tie, hand the Storybook to the player later in turn order last round.</i>
ThirtyFiveVp_0_Content1;<b>The first player that reaches the 35VP mark:</b><br /><br /><link=0>Has a Nasty Rumor spread about them.</link> <i>(They gain 2 <icon=Creepy_Icon> and 1 <icon=Insanity_Icon>.)</i><br /><br /><link=1>Has an unfortunate accident.</link> <i>(They immediately lose 4VP and an Estate Upgrade of their choice.)</i>
Gen1InsanityYes2_1_Content;Gain a Maladjustment card and place it into play immediately for this Generation.
Gen1InsanityYes2_2_Content;Lose 3VP.
PreHospital_Content; Turn to page <b>{{0=?|4|5}}</b> of the Village Chronicle. Place the Suspicion marker on space <b>{{1=...|6|7|8|...}}</b> and the <icon=AngryMob_Icon> token {{2=?|<b>two</b> spaces to the left (due to some seedy dealings).|one space to the left.}}<br /><br />Then, place a <icon=Storybook> token on <b>space 35</b> of the VP track.{{3=?| Then, since this is a 3 player game, pass the starting player marker clockwise 1 additional time.}}
// ---Hospital Hub---;
Hospital_Board_Content1; All players MUST personally visit the Hospital at least one time during this Generation by placing their Self on the Hospital space in town.<br /><br />The <b>first time</b> you visit the Hospital with your Self, 
